product_id,category_en,category_zh,name_en,name_zh,price,impressions,clicks,inquiries,orders
P0030,Electronics,电子产品,Wireless Earbuds Model 030,无线耳机 型号030,3.92,18112,337,60,7
P0031,Apparel,服装,Running Shorts Model 031,跑步短裤 型号031,48.29,7548,204,31,2
P0032,Home,家居,LED Desk Lamp Model 032,LED 台灯 型号032,10.52,11789,445,20,2
P0033,Beauty,美妆,Nail Polish Kit Model 033,指甲油套装 型号033,38.22,136988,2225,26,8
P0034,Toys,玩具,Plush Bear Model 034,毛绒熊 型号034,34.87,22565,466,37,4
P0035,Sports,运动,Resistance Bands Model 035,弹力带 型号035,13.96,11163,221,28,5
P0036,Electronics,电子产品,USB-C Hub Model 036,USB-C 扩展坞 型号036,3.79,6780,177,9,1
P0037,Apparel,服装,Denim Jacket Model 037,牛仔外套 型号037,26.41,5782,77,1,0
P0038,Home,家居,LED Desk Lamp Model 038,LED 台灯 型号038,22.09,2141,61,4,0
P0039,Beauty,美妆,Vitamin C Serum Model 039,维C精华液 型号039,70.56,9482,81,10,0
P0040,Toys,玩具,Educational Robot Model 040,益智机器人 型号040,27.89,39192,462,46,1
P0041,Sports,运动,Yoga Mat Model 041,瑜伽垫 型号041,19.4,92709,2901,122,18
P0042,Electronics,电子产品,Wireless Earbuds Model 042,无线耳机 型号042,24.66,179453,3611,631,62
P0043,Apparel,服装,Running Shorts Model 043,跑步短裤 型号043,41.78,39548,855,63,2
P0044,Home,家居,Ceramic Mug Set Model 044,陶瓷杯套装 型号044,50.21,6506,55,16,0
P0045,Beauty,美妆,Matte Lipstick Model 045,哑光口红 型号045,46.18,18857,474,16,1
P0046,Toys,玩具,Educational Robot Model 046,益智机器人 型号046,78.57,15237,312,77,10
P0047,Sports,运动,Dumbbell Set Model 047,哑铃套装 型号047,61.45,1218,14,0,0
P0048,Electronics,电子产品,Power Bank Model 048,充电宝 型号048,41.68,19634,466,49,4
P0049,Apparel,服装,Running Shorts Model 049,跑步短裤 型号049,16.26,5492,95,12,2
P0050,Home,家居,Ceramic Mug Set Model 050,陶瓷杯套装 型号050,7.7,12481,256,14,3
P0051,Beauty,美妆,Matte Lipstick Model 051,哑光口红 型号051,9.73,9958,104,18,3
P0052,Toys,玩具,Educational Robot Model 052,益智机器人 型号052,6.54,3710,54,2,0
P0053,Sports,运动,Cycling Helmet Model 053,骑行头盔 型号053,14.74,22951,604,62,8
P0054,Electronics,电子产品,Power Bank Model 054,充电宝 型号054,43.43,17011,225,44,3
P0055,Apparel,服装,Wool Sweater Model 055,羊毛毛衣 型号055,72.97,4719,25,5,0
P0056,Home,家居,Storage Basket Model 056,收纳篮 型号056,37.32,2997,76,20,4
P0057,Beauty,美妆,Vitamin C Serum Model 057,维C精华液 型号057,27.98,9041,409,39,5
P0058,Toys,玩具,RC Car Model 058,遥控车 型号058,6.34,13127,150,14,4
P0059,Sports,运动,Resistance Bands Model 059,弹力带 型号059,30.51,6542,60,5,0
P0060,Electronics,电子产品,USB-C Hub Model 060,USB-C 扩展坞 型号060,16.17,8643,122,18,2
P0061,Apparel,服装,Yoga Pants Model 061,瑜伽裤 型号061,12.66,6109,34,1,0
P0062,Home,家居,Bath Towel Model 062,浴巾 型号062,11.84,23354,376,42,7
P0063,Beauty,美妆,Face Mask Pack Model 063,面膜组合 型号063,42.46,9405,101,13,0
P0064,Toys,玩具,RC Car Model 064,遥控车 型号064,10.02,20906,387,44,12
P0065,Sports,运动,Yoga Mat Model 065,瑜伽垫 型号065,54.67,43814,473,5,1
P0066,Electronics,电子产品,Smart Watch Model 066,智能手表 型号066,10.89,103647,4554,653,92
P0067,Apparel,服装,Yoga Pants Model 067,瑜伽裤 型号067,40.83,18784,138,16,4
P0068,Home,家居,Memory Foam Pillow Model 068,记忆棉枕头 型号068,28.85,4476,98,8,2
P0069,Beauty,美妆,Vitamin C Serum Model 069,维C精华液 型号069,25.42,10906,114,11,1
P0070,Toys,玩具,Building Blocks Model 070,积木 型号070,55.74,13889,163,5,1
P0071,Sports,运动,Dumbbell Set Model 071,哑铃套装 型号071,29.19,10915,147,17,1
P0072,Electronics,电子产品,Smart Watch Model 072,智能手表 型号072,77.5,4179,26,0,0
P0073,Apparel,服装,Cotton T-Shirt Model 073,纯棉T恤 型号073,9.95,9137,112,3,0
P0074,Home,家居,Bath Towel Model 074,浴巾 型号074,27.24,19254,1698,204,17
P0075,Beauty,美妆,Nail Polish Kit Model 075,指甲油套装 型号075,24.81,18705,416,15,1
P0076,Toys,玩具,Building Blocks Model 076,积木 型号076,23.64,17656,192,39,4
P0077,Sports,运动,Resistance Bands Model 077,弹力带 型号077,29.38,34463,355,10,1
P0078,Electronics,电子产品,Bluetooth Speaker Model 078,蓝牙音箱 型号078,17.7,13885,213,41,1
P0079,Apparel,服装,Running Shorts Model 079,跑步短裤 型号079,87.41,7170,361,25,1
P0080,Home,家居,Bath Towel Model 080,浴巾 型号080,61.93,56179,1317,264,37
P0081,Beauty,美妆,Face Mask Pack Model 081,面膜组合 型号081,21.42,20207,323,26,6
P0082,Toys,玩具,Building Blocks Model 082,积木 型号082,52.05,31760,635,74,16
P0083,Sports,运动,Dumbbell Set Model 083,哑铃套装 型号083,1.32,2384,53,7,0
P0084,Electronics,电子产品,USB-C Hub Model 084,USB-C 扩展坞 型号084,27.24,4903,83,7,1
P0085,Apparel,服装,Denim Jacket Model 085,牛仔外套 型号085,29.33,24755,270,10,2
P0086,Home,家居,LED Desk Lamp Model 086,LED 台灯 型号086,33.1,25134,224,21,1
P0087,Beauty,美妆,Face Mask Pack Model 087,面膜组合 型号087,70.23,11971,257,34,4
P0088,Toys,玩具,Plush Bear Model 088,毛绒熊 型号088,32.21,26110,389,70,8
P0089,Sports,运动,Yoga Mat Model 089,瑜伽垫 型号089,25.58,10159,154,18,3
P0090,Electronics,电子产品,Power Bank Model 090,充电宝 型号090,24.44,38007,1238,110,15
P0091,Apparel,服装,Denim Jacket Model 091,牛仔外套 型号091,42.18,5142,150,23,2
P0092,Home,家居,LED Desk Lamp Model 092,LED 台灯 型号092,20.84,14907,911,21,2
P0093,Beauty,美妆,Face Mask Pack Model 093,面膜组合 型号093,17.03,41449,540,40,6
P0094,Toys,玩具,RC Car Model 094,遥控车 型号094,11.82,16760,583,117,16
P0095,Sports,运动,Football Model 095,足球 型号095,7.14,25674,402,18,1
P0096,Electronics,电子产品,Smart Watch Model 096,智能手表 型号096,60.59,24688,599,62,3
P0097,Apparel,服装,Denim Jacket Model 097,牛仔外套 型号097,19.74,4220,67,4,0
P0098,Home,家居,LED Desk Lamp Model 098,LED 台灯 型号098,20.31,11112,174,41,3
P0099,Beauty,美妆,Hair Dryer Model 099,电吹风 型号099,21.5,48457,899,79,1
P0100,Toys,玩具,Educational Robot Model 100,益智机器人 型号100,35.82,9097,272,36,2
P0101,Sports,运动,Yoga Mat Model 101,瑜伽垫 型号101,79.71,1151,10,0,0
P0102,Electronics,电子产品,Bluetooth Speaker Model 102,蓝牙音箱 型号102,18.34,4233,29,2,0
P0103,Apparel,服装,Cotton T-Shirt Model 103,纯棉T恤 型号103,8.53,31403,378,65,10
P0104,Home,家居,Bath Towel Model 104,浴巾 型号104,19.98,28285,1338,385,22
P0105,Beauty,美妆,Hair Dryer Model 105,电吹风 型号105,22.6,6970,89,2,0
P0106,Toys,玩具,Puzzle 1000pc Model 106,1000片拼图 型号106,8.15,2185,12,0,0
P0107,Sports,运动,Yoga Mat Model 107,瑜伽垫 型号107,43.95,7505,178,28,4
P0108,Electronics,电子产品,Power Bank Model 108,充电宝 型号108,40.23,63062,2149,90,19
P0109,Apparel,服装,Denim Jacket Model 109,牛仔外套 型号109,7.05,35147,1350,72,9
P0110,Home,家居,Ceramic Mug Set Model 110,陶瓷杯套装 型号110,26.52,29607,426,42,5
P0111,Beauty,美妆,Face Mask Pack Model 111,面膜组合 型号111,18.17,19400,255,15,2
P0112,Toys,玩具,Plush Bear Model 112,毛绒熊 型号112,25.75,17161,159,11,1
P0113,Sports,运动,Resistance Bands Model 113,弹力带 型号113,48.25,2763,35,1,0
P0114,Electronics,电子产品,USB-C Hub Model 114,USB-C 扩展坞 型号114,2.66,9437,94,12,3
P0115,Apparel,服装,Running Shorts Model 115,跑步短裤 型号115,63.58,6244,84,6,0
P0116,Home,家居,Ceramic Mug Set Model 116,陶瓷杯套装 型号116,10.38,32097,661,67,26
P0117,Beauty,美妆,Matte Lipstick Model 117,哑光口红 型号117,34.85,7889,84,25,2
P0118,Toys,玩具,Educational Robot Model 118,益智机器人 型号118,43.71,90486,2056,146,22
P0119,Sports,运动,Yoga Mat Model 119,瑜伽垫 型号119,18.11,19476,199,30,8
P0120,Electronics,电子产品,USB-C Hub Model 120,USB-C 扩展坞 型号120,38.28,15950,332,99,10
P0121,Apparel,服装,Wool Sweater Model 121,羊毛毛衣 型号121,10.29,18702,212,12,1
P0122,Home,家居,LED Desk Lamp Model 122,LED 台灯 型号122,18.93,10893,153,7,0
P0123,Beauty,美妆,Matte Lipstick Model 123,哑光口红 型号123,7.0,47142,1681,57,7
P0124,Toys,玩具,Puzzle 1000pc Model 124,1000片拼图 型号124,28.36,5369,145,18,1
P0125,Sports,运动,Dumbbell Set Model 125,哑铃套装 型号125,22.95,8604,35,1,0
P0126,Electronics,电子产品,Bluetooth Speaker Model 126,蓝牙音箱 型号126,82.53,9832,131,9,1
P0127,Apparel,服装,Yoga Pants Model 127,瑜伽裤 型号127,102.34,19097,556,24,4
P0128,Home,家居,Ceramic Mug Set Model 128,陶瓷杯套装 型号128,26.78,41152,735,78,20
P0129,Beauty,美妆,Face Mask Pack Model 129,面膜组合 型号129,31.94,29074,349,48,4
P0130,Toys,玩具,Building Blocks Model 130,积木 型号130,10.14,18449,186,28,7
P0131,Sports,运动,Yoga Mat Model 131,瑜伽垫 型号131,4.55,12795,625,52,1
P0132,Electronics,电子产品,Smart Watch Model 132,智能手表 型号132,19.07,1930,18,1,0
P0133,Apparel,服装,Running Shorts Model 133,跑步短裤 型号133,31.42,35649,358,77,4
P0134,Home,家居,LED Desk Lamp Model 134,LED 台灯 型号134,22.56,52252,835,10,0
P0135,Beauty,美妆,Hair Dryer Model 135,电吹风 型号135,8.16,7126,89,12,2
P0136,Toys,玩具,Educational Robot Model 136,益智机器人 型号136,9.67,15710,407,8,1
P0137,Sports,运动,Dumbbell Set Model 137,哑铃套装 型号137,55.87,1459,31,4,0
P0138,Electronics,电子产品,Wireless Earbuds Model 138,无线耳机 型号138,17.04,3339,29,2,0
P0139,Apparel,服装,Cotton T-Shirt Model 139,纯棉T恤 型号139,23.48,41468,1404,24,3
P0140,Home,家居,Storage Basket Model 140,收纳篮 型号140,23.71,14452,185,33,2
P0141,Beauty,美妆,Matte Lipstick Model 141,哑光口红 型号141,62.83,16194,513,5,0
P0142,Toys,玩具,Building Blocks Model 142,积木 型号142,58.42,2286,66,7,0
P0143,Sports,运动,Cycling Helmet Model 143,骑行头盔 型号143,22.3,43025,708,26,3
P0144,Electronics,电子产品,Bluetooth Speaker Model 144,蓝牙音箱 型号144,44.77,15193,902,20,1
P0145,Apparel,服装,Yoga Pants Model 145,瑜伽裤 型号145,14.03,12218,98,9,2
P0146,Home,家居,Ceramic Mug Set Model 146,陶瓷杯套装 型号146,10.8,7802,259,15,1
P0147,Beauty,美妆,Matte Lipstick Model 147,哑光口红 型号147,21.67,3354,46,1,0
P0148,Toys,玩具,Building Blocks Model 148,积木 型号148,3.82,16929,789,38,2
P0149,Sports,运动,Cycling Helmet Model 149,骑行头盔 型号149,10.91,15162,203,15,0
P0150,Electronics,电子产品,Wireless Earbuds Model 150,无线耳机 型号150,11.56,7869,146,13,0
P0151,Apparel,服装,Cotton T-Shirt Model 151,纯棉T恤 型号151,21.08,5885,111,6,1
P0152,Home,家居,Memory Foam Pillow Model 152,记忆棉枕头 型号152,50.11,6157,81,3,1
P0153,Beauty,美妆,Matte Lipstick Model 153,哑光口红 型号153,9.57,6138,80,2,0
P0154,Toys,玩具,Educational Robot Model 154,益智机器人 型号154,17.1,14357,135,28,2
P0155,Sports,运动,Football Model 155,足球 型号155,26.48,1168,12,1,0
P0156,Electronics,电子产品,Power Bank Model 156,充电宝 型号156,19.29,2096,32,2,0
P0157,Apparel,服装,Running Shorts Model 157,跑步短裤 型号157,26.41,1956,44,3,0
P0158,Home,家居,Storage Basket Model 158,收纳篮 型号158,41.74,33949,778,46,7
P0159,Beauty,美妆,Hair Dryer Model 159,电吹风 型号159,85.37,5562,89,15,2
P0160,Toys,玩具,Puzzle 1000pc Model 160,1000片拼图 型号160,11.93,7425,134,26,3
P0161,Sports,运动,Cycling Helmet Model 161,骑行头盔 型号161,14.68,16836,260,39,12
P0162,Electronics,电子产品,Power Bank Model 162,充电宝 型号162,75.95,37201,774,64,10
P0163,Apparel,服装,Running Shorts Model 163,跑步短裤 型号163,9.44,4607,33,3,0
P0164,Home,家居,Memory Foam Pillow Model 164,记忆棉枕头 型号164,30.37,4612,91,1,0
P0165,Beauty,美妆,Hair Dryer Model 165,电吹风 型号165,7.09,21015,302,8,1
P0166,Toys,玩具,Educational Robot Model 166,益智机器人 型号166,16.85,20649,251,58,18
P0167,Sports,运动,Cycling Helmet Model 167,骑行头盔 型号167,55.79,1955,61,5,1
P0168,Electronics,电子产品,Bluetooth Speaker Model 168,蓝牙音箱 型号168,69.05,3463,139,13,0
P0169,Apparel,服装,Yoga Pants Model 169,瑜伽裤 型号169,18.11,2202,27,0,0
P0170,Home,家居,Memory Foam Pillow Model 170,记忆棉枕头 型号170,50.73,4013,62,3,0
P0171,Beauty,美妆,Nail Polish Kit Model 171,指甲油套装 型号171,22.85,8686,232,16,1
P0172,Toys,玩具,RC Car Model 172,遥控车 型号172,36.27,15845,215,22,3
P0173,Sports,运动,Dumbbell Set Model 173,哑铃套装 型号173,33.53,23047,465,66,4
P0174,Electronics,电子产品,Smart Watch Model 174,智能手表 型号174,34.72,17186,153,32,3
P0175,Apparel,服装,Running Shorts Model 175,跑步短裤 型号175,24.33,65527,1277,95,11
P0176,Home,家居,Storage Basket Model 176,收纳篮 型号176,7.56,23509,115,8,1
P0177,Beauty,美妆,Nail Polish Kit Model 177,指甲油套装 型号177,16.94,36190,396,36,3
P0178,Toys,玩具,Plush Bear Model 178,毛绒熊 型号178,26.62,4346,114,1,0
P0179,Sports,运动,Dumbbell Set Model 179,哑铃套装 型号179,15.15,4478,39,8,0
P0180,Electronics,电子产品,Power Bank Model 180,充电宝 型号180,18.66,3271,21,1,0
P0181,Apparel,服装,Denim Jacket Model 181,牛仔外套 型号181,33.98,19674,198,16,1
P0182,Home,家居,Storage Basket Model 182,收纳篮 型号182,27.26,30295,571,95,38
P0183,Beauty,美妆,Nail Polish Kit Model 183,指甲油套装 型号183,45.49,10100,140,31,3
P0184,Toys,玩具,Educational Robot Model 184,益智机器人 型号184,19.94,14224,270,23,1
P0185,Sports,运动,Dumbbell Set Model 185,哑铃套装 型号185,143.34,7912,175,18,3
P0186,Electronics,电子产品,Bluetooth Speaker Model 186,蓝牙音箱 型号186,31.67,47056,807,49,2
P0187,Apparel,服装,Cotton T-Shirt Model 187,纯棉T恤 型号187,27.16,12537,325,13,1
P0188,Home,家居,Ceramic Mug Set Model 188,陶瓷杯套装 型号188,11.53,49077,1212,89,7
P0189,Beauty,美妆,Vitamin C Serum Model 189,维C精华液 型号189,19.3,3957,84,6,0
P0190,Toys,玩具,Puzzle 1000pc Model 190,1000片拼图 型号190,6.1,13593,230,12,0
P0191,Sports,运动,Football Model 191,足球 型号191,5.56,11155,202,16,1
P0192,Electronics,电子产品,Wireless Earbuds Model 192,无线耳机 型号192,34.82,24608,356,38,2
P0193,Apparel,服装,Yoga Pants Model 193,瑜伽裤 型号193,14.59,3024,57,3,0
P0194,Home,家居,Storage Basket Model 194,收纳篮 型号194,36.16,4547,43,10,1
P0195,Beauty,美妆,Face Mask Pack Model 195,面膜组合 型号195,12.87,3315,95,15,2
P0196,Toys,玩具,Plush Bear Model 196,毛绒熊 型号196,3.65,37563,374,32,0
P0197,Sports,运动,Resistance Bands Model 197,弹力带 型号197,35.95,29418,717,58,2
P0198,Electronics,电子产品,Smart Watch Model 198,智能手表 型号198,8.82,88096,1206,13,1
P0199,Apparel,服装,Yoga Pants Model 199,瑜伽裤 型号199,151.71,35277,288,26,3
P0200,Home,家居,LED Desk Lamp Model 200,LED 台灯 型号200,19.2,8182,94,7,1
P0201,Beauty,美妆,Vitamin C Serum Model 201,维C精华液 型号201,73.33,14128,325,32,2
P0202,Toys,玩具,Puzzle 1000pc Model 202,1000片拼图 型号202,3.64,22397,132,21,0
P0203,Sports,运动,Dumbbell Set Model 203,哑铃套装 型号203,26.25,212657,5809,708,14
P0204,Electronics,电子产品,USB-C Hub Model 204,USB-C 扩展坞 型号204,14.11,59995,1570,206,9
P0205,Apparel,服装,Denim Jacket Model 205,牛仔外套 型号205,64.55,64301,2537,84,24
P0206,Home,家居,Bath Towel Model 206,浴巾 型号206,10.17,10525,178,53,3
P0207,Beauty,美妆,Nail Polish Kit Model 207,指甲油套装 型号207,46.17,2884,40,7,2
P0208,Toys,玩具,Building Blocks Model 208,积木 型号208,31.41,5500,55,3,0
P0209,Sports,运动,Dumbbell Set Model 209,哑铃套装 型号209,12.27,2572,53,3,1
P0210,Electronics,电子产品,Smart Watch Model 210,智能手表 型号210,13.52,7100,173,1,0
P0211,Apparel,服装,Running Shorts Model 211,跑步短裤 型号211,15.46,13136,588,15,2
P0212,Home,家居,LED Desk Lamp Model 212,LED 台灯 型号212,22.11,14330,343,10,0
P0213,Beauty,美妆,Vitamin C Serum Model 213,维C精华液 型号213,15.99,8927,210,9,1
P0214,Toys,玩具,Plush Bear Model 214,毛绒熊 型号214,21.68,4068,51,1,0
P0215,Sports,运动,Football Model 215,足球 型号215,39.15,5390,98,0,0
P0216,Electronics,电子产品,Smart Watch Model 216,智能手表 型号216,22.39,14870,408,74,12
P0217,Apparel,服装,Cotton T-Shirt Model 217,纯棉T恤 型号217,58.71,121861,2063,20,2
P0218,Home,家居,Storage Basket Model 218,收纳篮 型号218,82.88,19125,541,25,5
P0219,Beauty,美妆,Face Mask Pack Model 219,面膜组合 型号219,77.39,23277,178,13,4
P0220,Toys,玩具,Educational Robot Model 220,益智机器人 型号220,15.9,42119,994,105,10
P0221,Sports,运动,Dumbbell Set Model 221,哑铃套装 型号221,40.65,21595,476,32,5
P0222,Electronics,电子产品,Wireless Earbuds Model 222,无线耳机 型号222,22.5,8659,54,9,2
P0223,Apparel,服装,Denim Jacket Model 223,牛仔外套 型号223,70.99,71853,2279,81,11
P0224,Home,家居,Bath Towel Model 224,浴巾 型号224,23.14,19560,234,6,1
P0225,Beauty,美妆,Nail Polish Kit Model 225,指甲油套装 型号225,54.35,14511,528,67,16
P0226,Toys,玩具,Educational Robot Model 226,益智机器人 型号226,30.86,1970,59,3,0
P0227,Sports,运动,Football Model 227,足球 型号227,47.55,3530,27,4,0
P0228,Electronics,电子产品,Power Bank Model 228,充电宝 型号228,14.19,6747,261,26,7
P0229,Apparel,服装,Wool Sweater Model 229,羊毛毛衣 型号229,11.15,12636,228,33,2
P0230,Home,家居,Storage Basket Model 230,收纳篮 型号230,22.87,5067,56,8,1
P0231,Beauty,美妆,Hair Dryer Model 231,电吹风 型号231,27.94,48367,575,46,6
P0232,Toys,玩具,RC Car Model 232,遥控车 型号232,7.82,8755,167,10,2
P0233,Sports,运动,Yoga Mat Model 233,瑜伽垫 型号233,20.25,19254,758,82,10
P0234,Electronics,电子产品,Power Bank Model 234,充电宝 型号234,6.02,10511,360,5,0
P0235,Apparel,服装,Cotton T-Shirt Model 235,纯棉T恤 型号235,27.56,19795,231,28,3
P0236,Home,家居,Memory Foam Pillow Model 236,记忆棉枕头 型号236,22.41,12700,325,27,2
P0237,Beauty,美妆,Vitamin C Serum Model 237,维C精华液 型号237,28.23,48529,366,38,5
P0238,Toys,玩具,Plush Bear Model 238,毛绒熊 型号238,97.7,8414,149,9,2
P0239,Sports,运动,Football Model 239,足球 型号239,5.92,37031,1190,199,11
P0240,Electronics,电子产品,Bluetooth Speaker Model 240,蓝牙音箱 型号240,58.16,4033,99,8,0
P0241,Apparel,服装,Denim Jacket Model 241,牛仔外套 型号241,14.08,2161,93,11,1
P0242,Home,家居,Storage Basket Model 242,收纳篮 型号242,16.93,21279,231,42,6
P0243,Beauty,美妆,Vitamin C Serum Model 243,维C精华液 型号243,15.47,8522,321,28,5
P0244,Toys,玩具,RC Car Model 244,遥控车 型号244,19.93,35235,981,36,0
P0245,Sports,运动,Yoga Mat Model 245,瑜伽垫 型号245,18.33,8773,120,14,3
P0246,Electronics,电子产品,Bluetooth Speaker Model 246,蓝牙音箱 型号246,10.75,13482,228,68,3
P0247,Apparel,服装,Yoga Pants Model 247,瑜伽裤 型号247,36.4,11997,284,28,5
P0248,Home,家居,Storage Basket Model 248,收纳篮 型号248,15.58,7180,191,22,2
P0249,Beauty,美妆,Face Mask Pack Model 249,面膜组合 型号249,27.14,9512,109,2,0
P0250,Toys,玩具,Puzzle 1000pc Model 250,1000片拼图 型号250,38.78,2114,27,0,0
P0251,Sports,运动,Football Model 251,足球 型号251,31.33,32656,856,137,20
P0252,Electronics,电子产品,Power Bank Model 252,充电宝 型号252,22.76,6883,88,2,0
P0253,Apparel,服装,Cotton T-Shirt Model 253,纯棉T恤 型号253,15.96,8875,163,35,3
P0254,Home,家居,Bath Towel Model 254,浴巾 型号254,116.24,64596,2904,125,6
P0255,Beauty,美妆,Matte Lipstick Model 255,哑光口红 型号255,46.55,17620,161,9,3
P0256,Toys,玩具,Building Blocks Model 256,积木 型号256,17.8,6306,258,49,6
P0257,Sports,运动,Yoga Mat Model 257,瑜伽垫 型号257,62.52,4147,108,12,1
P0258,Electronics,电子产品,Wireless Earbuds Model 258,无线耳机 型号258,24.0,18113,225,14,3
P0259,Apparel,服装,Wool Sweater Model 259,羊毛毛衣 型号259,23.94,7450,142,20,1
P0260,Home,家居,Ceramic Mug Set Model 260,陶瓷杯套装 型号260,20.98,17314,160,7,1
P0261,Beauty,美妆,Vitamin C Serum Model 261,维C精华液 型号261,166.03,8222,100,2,0
P0262,Toys,玩具,Building Blocks Model 262,积木 型号262,16.95,1856,56,2,0
P0263,Sports,运动,Football Model 263,足球 型号263,14.81,38452,836,194,35
P0264,Electronics,电子产品,Power Bank Model 264,充电宝 型号264,22.65,23667,230,22,2
P0265,Apparel,服装,Wool Sweater Model 265,羊毛毛衣 型号265,22.3,5487,77,6,1
P0266,Home,家居,Memory Foam Pillow Model 266,记忆棉枕头 型号266,23.09,8508,86,6,0
P0267,Beauty,美妆,Hair Dryer Model 267,电吹风 型号267,19.45,13415,274,37,4
P0268,Toys,玩具,Plush Bear Model 268,毛绒熊 型号268,24.36,2379,22,4,0
P0269,Sports,运动,Yoga Mat Model 269,瑜伽垫 型号269,11.89,15585,455,67,16
P0270,Electronics,电子产品,Wireless Earbuds Model 270,无线耳机 型号270,39.37,4836,67,9,2
P0271,Apparel,服装,Wool Sweater Model 271,羊毛毛衣 型号271,29.61,45047,1819,219,34
P0272,Home,家居,Storage Basket Model 272,收纳篮 型号272,42.53,23065,468,53,9
P0273,Beauty,美妆,Matte Lipstick Model 273,哑光口红 型号273,14.9,7891,80,13,1
P0274,Toys,玩具,Educational Robot Model 274,益智机器人 型号274,17.85,19386,529,39,2
P0275,Sports,运动,Dumbbell Set Model 275,哑铃套装 型号275,13.18,193254,3049,69,14
P0276,Electronics,电子产品,USB-C Hub Model 276,USB-C 扩展坞 型号276,14.94,5336,53,7,1
P0277,Apparel,服装,Running Shorts Model 277,跑步短裤 型号277,40.52,19536,214,4,0
P0278,Home,家居,Bath Towel Model 278,浴巾 型号278,7.86,5873,110,2,0
P0279,Beauty,美妆,Matte Lipstick Model 279,哑光口红 型号279,62.23,9835,307,31,6
P0280,Toys,玩具,Building Blocks Model 280,积木 型号280,10.8,36937,839,13,4
P0281,Sports,运动,Resistance Bands Model 281,弹力带 型号281,30.09,7391,84,9,0
P0282,Electronics,电子产品,Wireless Earbuds Model 282,无线耳机 型号282,16.65,23058,718,125,7
P0283,Apparel,服装,Yoga Pants Model 283,瑜伽裤 型号283,32.12,5745,52,6,0
P0284,Home,家居,LED Desk Lamp Model 284,LED 台灯 型号284,91.42,5560,84,7,1
P0285,Beauty,美妆,Matte Lipstick Model 285,哑光口红 型号285,19.1,5892,182,13,1
P0286,Toys,玩具,RC Car Model 286,遥控车 型号286,98.98,28813,392,59,17
P0287,Sports,运动,Resistance Bands Model 287,弹力带 型号287,30.63,8145,193,9,0
P0288,Electronics,电子产品,Smart Watch Model 288,智能手表 型号288,53.56,293171,6830,1005,90
P0289,Apparel,服装,Yoga Pants Model 289,瑜伽裤 型号289,58.55,31670,525,22,1
