date,product_id,impressions,clicks,inquiries,orders
2026-04-27,P0377,7609,88,6,0
2026-04-28,P0377,8710,140,18,1
2026-03-30,P0124,228,6,1,0
2026-03-31,P0124,181,5,1,0
2026-04-01,P0124,159,5,0,0
2026-04-02,P0124,202,5,0,0
2026-04-03,P0124,186,5,0,0
2026-04-04,P0124,151,2,0,0
2026-04-05,P0124,159,5,0,0
2026-04-06,P0124,162,4,0,0
2026-04-07,P0124,197,5,0,0
2026-04-08,P0124,177,4,0,0
2026-04-09,P0124,184,5,0,0
2026-04-10,P0124,148,4,0,0
2026-04-11,P0124,111,1,0,0
2026-04-12,P0124,167,4,0,0
2026-04-13,P0124,159,3,0,0
2026-04-14,P0124,188,5,0,0
2026-04-15,P0124,161,6,0,0
2026-04-16,P0124,179,3,0,0
2026-04-17,P0124,192,4,0,0
2026-04-18,P0124,216,6,0,0
2026-04-19,P0124,169,3,0,0
2026-04-20,P0124,173,6,0,0
2026-04-21,P0124,171,4,0,0
2026-04-22,P0124,209,7,0,0
2026-04-23,P0124,147,3,0,0
2026-04-24,P0124,183,5,0,0
2026-04-25,P0124,185,4,0,0
2026-04-26,P0124,188,1,0,0
2026-04-27,P0124,190,3,0,0
2026-04-28,P0124,165,6,0,0
2026-03-30,P0068,185,4,0,0
2026-03-31,P0068,148,2,0,0
2026-04-01,P0068,169,3,0,0
2026-04-02,P0068,153,3,0,0
2026-04-03,P0068,173,3,0,0
2026-04-04,P0068,159,2,0,0
2026-04-05,P0068,157,3,0,0
2026-04-06,P0068,142,2,0,0
2026-04-07,P0068,189,5,0,0
2026-04-08,P0068,166,3,0,0
2026-04-09,P0068,147,2,0,0
2026-04-10,P0068,149,3,0,0
2026-04-11,P0068,165,3,0,0
2026-04-12,P0068,137,2,0,0
2026-04-13,P0068,150,3,0,0
2026-04-14,P0068,156,3,0,0
2026-04-15,P0068,101,2,0,0
2026-04-16,P0068,148,3,0,0
2026-04-17,P0068,137,3,0,0
2026-04-18,P0068,171,3,0,0
2026-04-19,P0068,127,3,0,0
2026-04-20,P0068,131,2,0,0
2026-04-21,P0068,127,3,0,0
2026-04-22,P0068,151,4,0,0
2026-04-23,P0068,152,3,0,0
2026-04-24,P0068,145,4,0,0
2026-04-25,P0068,134,2,0,0
2026-04-26,P0068,181,3,0,0
2026-04-27,P0068,143,2,0,0
2026-04-28,P0068,178,6,0,0
2026-03-30,P0450,423,7,1,0
2026-03-31,P0450,415,7,1,0
2026-04-01,P0450,449,7,1,0
2026-04-02,P0450,457,8,1,0
2026-04-03,P0450,505,10,2,0
2026-04-04,P0450,478,9,2,0
2026-04-05,P0450,341,7,1,0
2026-04-06,P0450,488,10,3,0
2026-04-07,P0450,338,5,1,0
2026-04-08,P0450,478,8,1,0
2026-04-09,P0450,436,8,1,0
2026-04-10,P0450,397,6,1,0
2026-04-11,P0450,394,4,0,0
2026-04-12,P0450,366,8,1,0
2026-04-13,P0450,412,7,1,0
2026-04-14,P0450,514,5,0,0
2026-04-15,P0450,409,8,1,0
2026-04-16,P0450,471,10,2,0
2026-04-17,P0450,425,6,1,0
2026-04-18,P0450,409,9,0,0
2026-04-19,P0450,336,5,1,0
2026-04-20,P0450,348,5,1,0
2026-04-21,P0450,383,6,0,0
2026-04-22,P0450,401,5,1,0
2026-04-23,P0450,362,6,1,0
2026-04-24,P0450,327,7,1,0
2026-04-25,P0450,408,5,1,0
2026-04-26,P0450,446,7,2,0
2026-04-27,P0450,393,8,2,0
2026-04-28,P0450,333,4,1,0
2026-03-30,P0009,290,2,0,0
2026-03-31,P0009,326,3,0,0
2026-04-01,P0009,485,5,0,0
2026-04-02,P0009,351,3,0,0
2026-04-03,P0009,263,1,0,0
2026-04-04,P0009,359,5,0,0
2026-04-05,P0009,313,3,0,0
2026-04-06,P0009,392,4,0,0
2026-04-07,P0009,297,3,0,0
2026-04-08,P0009,363,4,0,0
2026-04-09,P0009,431,3,0,0
2026-04-10,P0009,418,4,0,0
2026-04-11,P0009,352,2,0,0
2026-04-12,P0009,318,3,0,0
2026-04-13,P0009,404,4,0,0
2026-04-14,P0009,416,4,0,0
2026-04-15,P0009,359,3,0,0
2026-04-16,P0009,397,4,0,0
2026-04-17,P0009,341,4,0,0
2026-04-18,P0009,329,4,0,0
2026-04-19,P0009,426,2,0,0
2026-04-20,P0009,365,4,0,0
2026-04-21,P0009,470,6,0,0
2026-04-22,P0009,340,2,0,0
2026-04-23,P0009,276,2,0,0
2026-04-24,P0009,364,2,0,0
2026-04-25,P0009,348,1,0,0
2026-04-26,P0009,211,2,0,0
2026-04-27,P0009,325,3,0,0
2026-04-28,P0009,350,4,0,0
2026-03-30,P0194,133,1,0,0
2026-03-31,P0194,156,1,0,0
2026-04-01,P0194,148,1,0,0
2026-04-02,P0194,170,1,0,0
2026-04-03,P0194,161,1,0,0
2026-04-04,P0194,132,1,0,0
2026-04-05,P0194,127,1,0,0
2026-04-06,P0194,171,1,0,0
2026-04-07,P0194,121,1,0,0
2026-04-08,P0194,142,1,0,0
2026-04-09,P0194,142,1,0,0
2026-04-10,P0194,142,1,0,0
2026-04-11,P0194,179,2,0,0
2026-04-12,P0194,160,1,0,0
2026-04-13,P0194,163,1,0,0
2026-04-14,P0194,178,0,0,0
2026-04-15,P0194,111,1,0,0
2026-04-16,P0194,158,1,0,0
2026-04-17,P0194,138,1,0,0
2026-04-18,P0194,164,1,0,0
2026-04-19,P0194,177,1,0,0
2026-04-20,P0194,137,1,0,0
2026-04-21,P0194,150,1,0,0
2026-04-22,P0194,115,1,0,0
2026-04-23,P0194,201,2,0,0
2026-04-24,P0194,146,1,0,0
2026-04-25,P0194,155,1,0,0
2026-04-26,P0194,165,1,0,0
2026-04-27,P0194,131,0,0,0
2026-04-28,P0194,141,0,0,0
2026-03-30,P0406,155,4,0,0
2026-03-31,P0406,169,5,0,0
2026-04-01,P0406,165,4,0,0
2026-04-02,P0406,170,4,0,0
2026-04-03,P0406,232,6,0,0
2026-04-04,P0406,197,4,0,0
2026-04-05,P0406,198,5,0,0
2026-04-06,P0406,135,2,0,0
2026-04-07,P0406,172,2,0,0
2026-04-08,P0406,227,4,0,0
2026-04-09,P0406,184,6,0,0
2026-04-10,P0406,193,4,0,0
2026-04-11,P0406,181,5,0,0
2026-04-12,P0406,156,3,0,0
2026-04-13,P0406,181,4,0,0
2026-04-14,P0406,158,4,0,0
2026-04-15,P0406,167,5,0,0
2026-04-16,P0406,224,6,0,0
2026-04-17,P0406,196,3,0,0
2026-04-18,P0406,154,5,0,0
2026-04-19,P0406,140,1,0,0
2026-04-20,P0406,161,5,0,0
2026-04-21,P0406,117,3,0,0
2026-04-22,P0406,198,4,0,0
2026-04-23,P0406,192,3,0,0
2026-04-24,P0406,166,5,0,0
2026-04-25,P0406,208,5,0,0
2026-04-26,P0406,187,5,0,0
2026-04-27,P0406,157,4,0,0
2026-04-28,P0406,154,5,0,0
2026-03-30,P0084,153,2,0,0
2026-03-31,P0084,140,2,0,0
2026-04-01,P0084,180,2,0,0
2026-04-02,P0084,171,2,0,0
2026-04-03,P0084,163,3,0,0
2026-04-04,P0084,192,3,0,0
2026-04-05,P0084,160,1,0,0
2026-04-06,P0084,138,2,0,0
2026-04-07,P0084,158,2,0,0
2026-04-08,P0084,170,3,0,0
2026-04-09,P0084,161,3,0,0
2026-04-10,P0084,155,3,0,0
2026-04-11,P0084,157,2,0,0
2026-04-12,P0084,161,2,0,0
2026-04-13,P0084,234,2,0,0
2026-04-14,P0084,177,3,0,0
2026-04-15,P0084,167,3,0,0
2026-04-16,P0084,172,3,0,0
2026-04-17,P0084,166,2,0,0
2026-04-18,P0084,119,2,0,0
2026-04-19,P0084,127,2,0,0
2026-04-20,P0084,126,2,0,0
2026-04-21,P0084,158,2,0,0
2026-04-22,P0084,176,2,0,0
2026-04-23,P0084,172,1,0,0
2026-04-24,P0084,221,2,0,0
2026-04-25,P0084,192,2,0,0
2026-04-26,P0084,169,2,0,0
2026-04-27,P0084,166,3,0,0
2026-04-28,P0084,187,3,0,0
2026-03-30,P0371,558,3,0,0
2026-03-31,P0371,651,5,0,0
2026-04-01,P0371,705,5,0,0
2026-04-02,P0371,571,3,0,0
2026-04-03,P0371,670,7,0,0
2026-04-04,P0371,599,3,0,0
2026-04-05,P0371,746,7,0,0
2026-04-06,P0371,831,5,0,0
2026-04-07,P0371,790,5,0,0
2026-04-08,P0371,657,4,0,0
2026-04-09,P0371,834,4,0,0
2026-04-10,P0371,842,6,0,0
2026-04-11,P0371,728,5,0,0
2026-04-12,P0371,697,3,0,0
2026-04-13,P0371,573,3,0,0
2026-04-14,P0371,678,6,0,0
2026-04-15,P0371,793,4,0,0
2026-04-16,P0371,667,5,0,0
2026-04-17,P0371,650,4,0,0
2026-04-18,P0371,905,9,0,0
2026-04-19,P0371,593,3,0,0
2026-04-20,P0371,607,4,0,0
2026-04-21,P0371,621,6,0,0
2026-04-22,P0371,580,5,0,0
2026-04-23,P0371,575,4,0,0
2026-04-24,P0371,808,5,0,0
2026-04-25,P0371,795,7,0,0
2026-04-26,P0371,753,6,0,0
2026-04-27,P0371,750,5,0,0
2026-04-28,P0371,685,4,0,0
2026-03-30,P0388,675,13,2,0
2026-03-31,P0388,689,7,1,0
2026-04-01,P0388,684,14,1,0
2026-04-02,P0388,707,12,2,0
2026-04-03,P0388,747,16,3,0
2026-04-04,P0388,465,9,2,0
2026-04-05,P0388,590,12,3,0
2026-04-06,P0388,590,10,2,0
2026-04-07,P0388,566,11,2,0
2026-04-08,P0388,702,12,3,0
2026-04-09,P0388,620,11,2,0
2026-04-10,P0388,546,5,1,0
2026-04-11,P0388,640,13,2,0
2026-04-12,P0388,649,13,3,0
2026-04-13,P0388,662,14,3,0
2026-04-14,P0388,746,10,2,0
2026-04-15,P0388,709,13,2,0
2026-04-16,P0388,642,12,3,0
2026-04-17,P0388,617,8,1,0
2026-04-18,P0388,754,18,5,0
2026-04-19,P0388,753,17,3,0
2026-04-20,P0388,475,9,1,0
2026-04-21,P0388,520,10,2,0
2026-04-22,P0388,564,5,1,0
2026-04-23,P0388,521,10,1,0
2026-04-24,P0388,623,13,3,0
2026-04-25,P0388,743,10,2,0
2026-04-26,P0388,632,12,2,0
2026-04-27,P0388,736,5,1,0
2026-04-28,P0388,617,13,2,0
2026-03-30,P0495,1013,20,1,0
2026-03-31,P0495,1201,15,1,0
2026-04-01,P0495,1369,26,1,0
2026-04-02,P0495,1055,22,1,0
2026-04-03,P0495,1205,15,1,0
2026-04-04,P0495,980,17,1,0
2026-04-05,P0495,1142,12,1,0
2026-04-06,P0495,1053,25,3,0
2026-04-07,P0495,889,13,1,0
2026-04-08,P0495,1377,17,1,0
2026-04-09,P0495,1241,18,2,0
2026-04-10,P0495,1078,20,2,0
2026-04-11,P0495,1133,22,2,0
2026-04-12,P0495,1231,28,2,0
2026-04-13,P0495,867,15,2,0
2026-04-14,P0495,1243,18,2,0
2026-04-15,P0495,1069,17,2,0
2026-04-16,P0495,1065,13,1,0
2026-04-17,P0495,1254,25,3,0
2026-04-18,P0495,1267,21,2,0
2026-04-19,P0495,1129,16,2,0
2026-04-20,P0495,956,20,2,0
2026-04-21,P0495,1428,27,2,0
2026-04-22,P0495,1331,22,3,0
2026-04-23,P0495,1206,17,2,0
2026-04-24,P0495,1214,17,2,0
2026-04-25,P0495,969,11,1,0
2026-04-26,P0495,1249,19,3,0
2026-04-27,P0495,1331,21,2,0
2026-04-28,P0495,1127,23,2,0
2026-03-30,P0030,686,14,3,0
2026-03-31,P0030,478,7,1,0
2026-04-01,P0030,612,8,1,0
2026-04-02,P0030,707,20,3,0
2026-04-03,P0030,558,6,0,0
2026-04-04,P0030,472,11,2,0
2026-04-05,P0030,575,10,2,0
2026-04-06,P0030,651,11,1,0
2026-04-07,P0030,424,7,1,0
2026-04-08,P0030,599,11,0,0
2026-04-09,P0030,639,12,1,0
2026-04-10,P0030,695,14,2,0
2026-04-11,P0030,546,11,2,0
2026-04-12,P0030,614,13,2,0
2026-04-13,P0030,681,10,0,0
2026-04-14,P0030,626,7,1,0
2026-04-15,P0030,577,9,2,0
2026-04-16,P0030,530,10,1,0
2026-04-17,P0030,685,13,2,0
2026-04-18,P0030,608,11,2,0
2026-04-19,P0030,653,12,1,0
2026-04-20,P0030,600,11,3,0
2026-04-21,P0030,641,14,2,0
2026-04-22,P0030,568,11,1,0
2026-04-23,P0030,625,13,2,0
2026-04-24,P0030,594,10,2,0
2026-04-25,P0030,537,8,1,0
2026-04-26,P0030,570,10,1,0
2026-04-27,P0030,526,7,1,0
2026-04-28,P0030,633,9,1,0
2026-03-30,P0316,218,2,0,0
2026-03-31,P0316,258,3,0,0
2026-04-01,P0316,210,2,0,0
2026-04-02,P0316,226,1,0,0
2026-04-03,P0316,254,3,0,0
2026-04-04,P0316,312,3,0,0
2026-04-05,P0316,175,2,0,0
2026-04-06,P0316,308,3,0,0
2026-04-07,P0316,201,2,0,0
2026-04-08,P0316,230,2,0,0
2026-04-09,P0316,217,2,0,0
2026-04-10,P0316,275,2,0,0
2026-04-11,P0316,258,2,0,0
2026-04-12,P0316,282,4,0,0
2026-04-13,P0316,237,2,0,0
2026-04-14,P0316,240,2,0,0
2026-04-15,P0316,197,2,0,0
2026-04-16,P0316,314,3,0,0
2026-04-17,P0316,191,2,0,0
2026-04-18,P0316,235,2,0,0
2026-04-19,P0316,280,2,0,0
2026-04-20,P0316,254,2,0,0
2026-04-21,P0316,235,3,0,0
2026-04-22,P0316,261,1,0,0
2026-04-23,P0316,248,2,0,0
2026-04-24,P0316,152,1,0,0
2026-04-25,P0316,253,3,0,0
2026-04-26,P0316,171,1,0,0
2026-04-27,P0316,259,3,0,0
2026-04-28,P0316,191,3,0,0
2026-03-30,P0408,922,17,2,0
2026-03-31,P0408,831,17,1,0
2026-04-01,P0408,891,11,1,0
2026-04-02,P0408,918,16,1,0
2026-04-03,P0408,1078,17,1,0
2026-04-04,P0408,720,11,0,0
2026-04-05,P0408,821,14,1,0
2026-04-06,P0408,928,18,2,0
2026-04-07,P0408,937,18,1,0
2026-04-08,P0408,744,15,2,0
2026-04-09,P0408,826,20,2,0
2026-04-10,P0408,499,10,0,0
2026-04-11,P0408,797,18,1,0
2026-04-12,P0408,808,15,1,0
2026-04-13,P0408,1100,24,2,0
2026-04-14,P0408,950,17,0,0
2026-04-15,P0408,872,13,1,0
2026-04-16,P0408,953,21,2,0
2026-04-17,P0408,773,15,1,0
2026-04-18,P0408,795,16,1,0
2026-04-19,P0408,961,14,1,0
2026-04-20,P0408,1073,26,3,0
2026-04-21,P0408,674,15,1,0
2026-04-22,P0408,764,19,1,0
2026-04-23,P0408,836,13,1,0
2026-04-24,P0408,746,16,0,0
2026-04-25,P0408,857,14,0,0
2026-04-26,P0408,909,17,0,0
2026-04-27,P0408,584,12,0,0
2026-04-28,P0408,726,13,1,0
2026-03-30,P0490,459,11,1,0
2026-03-31,P0490,428,5,0,0
2026-04-01,P0490,316,5,0,0
2026-04-02,P0490,366,5,0,0
2026-04-03,P0490,437,7,1,0
2026-04-04,P0490,354,6,1,0
2026-04-05,P0490,499,12,2,0
2026-04-06,P0490,490,13,1,0
2026-04-07,P0490,416,8,1,0
2026-04-08,P0490,419,8,1,0
2026-04-09,P0490,497,11,1,0
2026-04-10,P0490,552,16,1,0
2026-04-11,P0490,548,12,1,0
2026-04-12,P0490,531,8,0,0
2026-04-13,P0490,565,10,0,0
2026-04-14,P0490,399,5,0,0
2026-04-15,P0490,440,7,0,0
2026-04-16,P0490,540,10,1,0
2026-04-17,P0490,516,11,1,0
2026-04-18,P0490,342,7,1,0
2026-04-19,P0490,626,10,1,0
2026-04-20,P0490,484,9,1,0
2026-04-21,P0490,593,11,1,0
2026-04-22,P0490,548,9,1,0
2026-04-23,P0490,482,5,0,0
2026-04-24,P0490,532,11,1,0
2026-04-25,P0490,581,13,2,0
2026-04-26,P0490,558,10,1,0
2026-04-27,P0490,507,11,1,0
2026-04-28,P0490,492,12,1,0
2026-03-30,P0491,444,13,3,0
2026-03-31,P0491,589,15,3,0
2026-04-01,P0491,533,10,3,0
2026-04-02,P0491,475,11,2,0
2026-04-03,P0491,399,6,1,0
2026-04-04,P0491,492,12,2,0
2026-04-05,P0491,455,9,2,0
2026-04-06,P0491,339,8,1,0
2026-04-07,P0491,429,5,1,0
2026-04-08,P0491,314,8,2,0
2026-04-09,P0491,483,11,3,0
2026-04-10,P0491,537,9,2,0
2026-04-11,P0491,334,8,3,0
2026-04-12,P0491,560,13,3,0
2026-04-13,P0491,402,7,2,0
2026-04-14,P0491,390,10,2,0
2026-04-15,P0491,490,13,3,0
2026-04-16,P0491,480,12,2,0
2026-04-17,P0491,491,12,1,0
2026-04-18,P0491,544,13,1,0
2026-04-19,P0491,421,12,3,0
2026-04-20,P0491,540,10,2,0
2026-04-21,P0491,515,8,1,0
2026-04-22,P0491,417,8,1,0
2026-04-23,P0491,458,12,2,0
2026-04-24,P0491,411,8,2,0
2026-04-25,P0491,420,9,3,0
2026-04-26,P0491,402,9,2,0
2026-04-27,P0491,455,10,3,0
2026-04-28,P0491,436,9,2,0
2026-03-30,P0280,1339,29,0,0
2026-03-31,P0280,1498,32,0,0
2026-04-01,P0280,1284,43,0,0
2026-04-02,P0280,1468,27,0,0
2026-04-03,P0280,1280,23,0,0
2026-04-04,P0280,1044,20,0,0
2026-04-05,P0280,1152,26,0,0
2026-04-06,P0280,1227,24,0,0
2026-04-07,P0280,1145,28,0,0
2026-04-08,P0280,1520,38,0,0
2026-04-09,P0280,1458,31,0,0
2026-04-10,P0280,956,22,0,0
2026-04-11,P0280,1468,20,0,0
2026-04-12,P0280,1219,25,0,0
2026-04-13,P0280,1322,30,0,0
2026-04-14,P0280,1389,24,0,0
2026-04-15,P0280,1269,27,0,0
2026-04-16,P0280,1286,28,0,0
2026-04-17,P0280,1217,21,0,0
2026-04-18,P0280,1252,29,0,0
2026-04-19,P0280,1263,36,0,0
2026-04-20,P0280,1122,23,0,0
2026-04-21,P0280,1570,26,0,0
2026-04-22,P0280,1549,31,0,0
2026-04-23,P0280,1056,22,0,0
2026-04-24,P0280,1073,27,0,0
2026-04-25,P0280,1419,39,0,0
2026-04-26,P0280,1200,31,0,0
2026-04-27,P0280,932,21,0,0
2026-04-28,P0280,1348,32,0,0
2026-03-30,P0356,1207,22,1,0
2026-03-31,P0356,1238,29,1,0
2026-04-01,P0356,1514,48,4,0
2026-04-02,P0356,1298,34,2,0
2026-04-03,P0356,1460,36,2,0
2026-04-04,P0356,1652,39,3,0
2026-04-05,P0356,1425,40,2,0
2026-04-06,P0356,1231,30,3,0
2026-04-07,P0356,1189,29,2,0
2026-04-08,P0356,1461,38,3,0
2026-04-09,P0356,1295,42,3,0
2026-04-10,P0356,1175,33,3,0
2026-04-11,P0356,1404,28,1,0
2026-04-12,P0356,1262,31,2,0
2026-04-13,P0356,1052,33,2,0
2026-04-14,P0356,1036,30,2,0
2026-04-15,P0356,1349,36,3,0
2026-04-16,P0356,1011,41,2,0
2026-04-17,P0356,1544,34,2,0
2026-04-18,P0356,1460,42,3,0
2026-04-19,P0356,1314,44,3,0
2026-04-20,P0356,1213,26,1,0
2026-04-21,P0356,1506,49,3,0
2026-04-22,P0356,1624,47,2,0
2026-04-23,P0356,1335,37,2,0
2026-04-24,P0356,1051,32,1,0
2026-04-25,P0356,1128,23,1,0
2026-04-26,P0356,1361,41,1,0
2026-04-27,P0356,1130,19,1,0
2026-04-28,P0356,1080,26,1,0
2026-03-30,P0076,614,7,1,0
2026-03-31,P0076,587,6,1,0
2026-04-01,P0076,552,5,0,0
2026-04-02,P0076,579,5,0,0
2026-04-03,P0076,674,7,1,0
2026-04-04,P0076,538,4,1,0
